Topic,Subtopic,ObjectiveName,LearningObjectives,Pre-requisites,vloookup,true?,
,,,Extended multiplication is the same as the multiplication using expanded form where each place value column is multiplied and then gets added.,,,,
,,,Multiplication using expanded form can be expressed using area model where numbers represent the sides of the rectangle. The rectangle is split into smaller rectangles depending upon the number of splits the numbers have based on their place values. ,,,,
,,,Area of each of these rectangles gives the partial product and their sum gives the final product. The number of partial products in a multiplication equation depends on the number of digits in the factors.,,,,
,Multiplication of 2 or more digit numbers by one or more digit numbers,"Multiplication without carry forward
","In the column method of multiplication with a single-digit multiplier, arrange the numbers in columns as per their place value  and multiply each place value of the multiplicand with the multiplier starting from the rightmost column with only one digit as a product in each column. This is also known as contracted multiplication.",,,,
,,,Multiplication is always started from the right-most column as we always multiply  from the lower place value to higher  place value. ,,,,
,,,"For 2 and higher digit multipliers, arrange the numbers in columns as per their place value, begin with multiplication of the ones digit of the multiplier with multiplicands, then multiply the higher digits of the multiplier with multiplicands one by one. These partial products are then added to get the final product.
",,,,
,,,"When multiplying by the tens or higher digits, 0 is placed as a placeholder to maintain place value.",,,,
,,,"Since no place value columns multiply up to a number that is 10 or greater,  we call it multiplication without carry forward or without regrouping.",,,,
,Multiplication of 2 or more digit numbers by one or more digit numbers,"Multiplication with carry forward
","In the column method of multiplication, arrange the numbers in columns as per their place value and multiply each place value of the multiplicand with the multiplier starting from the rightmost column with regrouping so as to have only one digit as a product in each column. This is also known as contracted multiplication.",,,,
,,,"Since one of the product comes up to be 10 or greater and we need to carry over the extra digit of the product to the next column, we call it multiplication with carry forward or regrouping.",,,,
,,,"When multiplying by the tens or higher digits, 0 is placed as a placeholder to maintain place value.",,,,
,Multiplication by multiples of 10,"Multiplication with 10, multiples of 10 and powers of 10","To multiply a number by 10 or multiples of 10, count the number of zeroes in the multiplier and write the same number of zeroes at the end of the multiplicand.",,,,
,,,"Multiplying a number with 10 means adding the number to itself 10 times and this increases the value of the number by 10 times. Since adding any number to itself 10 times, will always result in a multiple of 10,  we add a zero at the unit place when multiplying a number by 10. ",,,,
,,,"To multiply a number by power of 10, add the number of zeroes equal to the power of 10 onto the right of the number. ",,,,
,,,"A power of 10 simply means the number of times 10 is multiplied by itself, which is nothing but a multiple of 10. Thus multiplying a number by a power of 10 is same as multiplying a number by a multiple of 10. ",,,,
,Division of one-digit numbers,What is division of two numbers and its purpose,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,,,,
,,,Division means sharing a given amount or a large group of objects equally in groups so that each group gets a fair share. ,,,,
,,,Division helps us find  the number of items in each smaller group or the number of equal groups that can be formed.  ,,,,
,,,"On dividing the dividend by the divisor, the result obtained is called the quotient and the value that is left is called the remainder. ",,,,
,,,The number that is being divided is called the dividend. The number which divides a given number is the divisor.,,,,
,,,"The  division symbol ""÷""and  the ""=""  symbol are used to write a  division sentence where ""÷"" indicates division. Dividend comes first in the division sentence as to divide, we must have something to divide.",,,,
,Division of one-digit numbers,Representing division using an array,An array is a way to represent division using rows and columns. The given number (dividend) is split or divided into columns of equal size (divisor). ,,,,
,,,The number of rows formed give us the quotient. ,,,,
,Division of one-digit numbers,Division using repeated subtraction,Repeated subtraction is the process of jumping backward from the actual number until we get the required answer. And the number of times the same number is subtracted gives the quotient when it is used in division form.,,,,
,,,"Since in division, a number is subtracted from itself multiple times, division is often related to ""repeated subtraction"". ",,,,
,,,"Division on number line is based on repeated subtraction as we jump backwards from the dividend on the number line, making jumps of the same size (the size being the divisor), until we reach 0.",,,,
,Relationship between multiplication and division,Multiplication and division fact families,Multiplication and Division fact family helps form two multiplication and two division sentences using the same three numbers.,,,,
,,,"Since multiplication means combining parts to form a whole and division means splitting a whole into parts, the inverse nature of multiplication and division is used for forming fact families. ",,,,
,Relationship between multiplication and division,Division using reverse multiplication ,"Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ",,,,
,"Division by 1 digit divisor
(without remainder)",Division using Partial Quotient,"In the partial quotient method, the divisor is multiplied by a number, and the product is deducted from the dividend to get partial quotients. The process is repeated until the difference is less than the divisor or equal to 0. The partial quotients are added to get the final quotients.",,,,
,,,The partial quotient method breaks the problem into smaller numbers and uses repeated subtraction to get multiple partial quotients.,,,,
,,,Division using the area model uses the concept of partial quotients. ,,,,
,,,"To divide using an area model, consider a rectangle with dividend as its area, and divisor as its width. The rectangle is split into several smaller rectangles with partial quotients as their lengths. The sum of these partial quotients gives the resultant quotient and determines the length of this rectangle.",,,,
,"Division by 1 digit divisor
(without remainder)",Long method of Division ,"In the long method of division, divide the digits of the dividend by the divisor one digit at a time starting from the highest place value. Follow 5 steps of divide, multiply, subtract, bring down and repeat until the dividend is less than the divisor. ",,,,
,,,"When a digit of the dividend is smaller than the digit of the divisor, two digits of the dividend are taken together and 0 is added as the quotient. ",,,,
,,,"
Division always starts from the left as it is convenient and we get the most significant digits of the quotient quickly. Also the quotient is obtained as single value and not as partial quotients.",,,,
,"Division by 1 digit divisor
(without remainder)",Short method of Division ,"
In the short division or the bus stop method of division, starting from the left, one digit of the dividend is divided by the divisor at a time.
",,,,
,,,"When a digit of the dividend is smaller than the digit of the divisor, two digits of the dividend are taken together and 0 is added as the quotient. ",,,,
,"Division by 1 digit divisor
(With Remainder)",Concept of Remainder,"
Remainder means something which is ‘left over’ or ‘remaining’ after division. Thus remainder identifies how many elements or numbers that will be left ungrouped. ",,,,
,,,"
The value or number that is left when a dividend is not completely divisible by the divisor is called the remainder. Thus, a remainder is always less than the divisor.",,,,
,,,"When the dividend is completely divided by the divisor, the remainder is 0 and the dividend is the product of the divisor and quotient. ",,,,
,,,"When the dividend is not completely divided by the divisor, the remainder is greater than 0 and can be found as: 
Remainder = Dividend – (Divisor x Quotient)",,,,
,"Division by 1 digit divisor
(With Remainder)",Long method of Division with Remainder,"In the long method of division, divide the digits of the dividend by the divisor one digit at a time starting from the highest place value. Follow 5 steps of divide, multiply, subtract, bring down and repeat until the dividend is less than the divisor.",,,,
,,,"
Division always starts from the left as it is convenient and we get the most significant digits of the quotient quickly. Also the quotient is obtained as single value and not as partial quotients.",,,,
,,,"When a digit of the dividend is smaller than the digit of the divisor, two digits of the dividend are taken together and 0 is added as the quotient. ",,,,
,,,"When a digit of the dividend is not completely divisible by the divisor, the value that is left is the remainder and is used along  with the next digit to form the new dividend.",,,,
,Division by 1 digit divisor,Short method of Division with Remainder,"
In the short division or the bus stop method of division, starting from the left, one digit of the dividend is divided by the divisor at a time.
",,,,
,,,"Misconception: For digit of the dividend being smaller than the divisor, the quotient for that digit is 0 and two digits are used  as dividends.",,,,
,,,"When a digit of the dividend is not completely divisible by the divisor, the value that is left is the remainder and is used along  with the next digit to form the new dividend.",,,,
,Division by 2 or more digit divisors,Long method of Division with and without remainder,"In the long method of division, divide the digits of the dividend by the divisor starting from the highest place value. Follow 5 steps of divide, multiply, subtract, bring down and repeat until the dividend is less than the divisor.",,,,
,,,"Since the divisor is of 2 or more digits, we start with 2 or more digits of the dividend. Thus the value of the divisor determines how many digits of the dividend we should start with. ",,,,
,,,"
Division always starts from the left as it is convenient and we get the most significant digits of the quotient quickly. Also the quotient is obtained as single value and not as partial quotients.
",,,,
,,,"When the dividend is smaller than the divisor, two or  more digits of the dividend are taken together and 0 is added as the quotient for each digit taken. ",,,,
,,,"When the digits of the dividend are not completely divisible by the divisor, the value that is left is the remainder and is used along  with the next digit to form the new dividend.",,,,
,Division by 2 or more digit divisors,Short method of Division with and without remainder,"In the short division or the bus stop method of division, divide the digits of the dividend by the divisor starting from the highest place value.",,,,
,,,"Since the divisor is of 2 or more digits, we start with 2 or more digits of the dividend. Thus the value of the divisor determines how many digits of the dividend we should start with. ",,,,
,,,"

When the dividend is smaller than the divisor, two or  more digits of the dividend are taken together and 0 is added as the quotient for each digit taken. ",,,,
,,,"When a digit of the dividend is not completely divisible by the divisor, the value that is left is the remainder and is used along  with the next digit to form the new dividend.",,,,
,Division by power of 10s,Division by 10s,"To divide a number by 10 or multiples of 10, count the number of zeroes in the divisor.  The digits from the right, equal to the number of zeroes in the multiple of 10 give  the remainder and the rest of the digits give the quotient. ",,,,
,,,Dividing a number by 10 means subtracting the number from itself 10 times and this decreases the value of the number by 10 times. ,,,,
,,,"A power of 10 simply means the number of times 10 is multiplied by itself, which is nothing but a multiple of 10. Thus dividing a number  by power of 10 is same as dividing a number by a multiple of 10. ",,,,
,Properties of whole numbers,Properties of addition,"Commutative Property
The commutative property for addition of whole numbers states that if the order of numbers added is reversed, the sum remains the same.  
i.e., for any two whole numbers a and b, a + b = b + a.",,,,
,,," Associative Property                                                                                                        
(i) Associative property gets its name from the word “Associate” and it refers to the grouping of numbers. Grouping means the use of parentheses or brackets to group numbers.                                                                                                                 
(ii) The associative property for addition of whole numbers states that the result of addition of more than two whole numbers is always the same irrespective of the grouping of whole numbers.  i.e. if a, b and c are any three whole numbers then
a + (b + c) = (a + b) + c",,,,
,,,"Closure Property The result of the addition of two or more whole numbers is always a whole number. Hence, if a and b are two whole numbers and a + b = c, then c is also a whole number.
Thus whole numbers are closed under addition. ",,,,
,,,"Additive Identity                                                                                                               
 The identity property for addition of whole numbers states that adding 0 to a whole number does not change the value of the number.
 i.e. if a is a whole number, then a + 0 = a. 
Thus the 0 is additive identity for whole numbers.
",,,,
,Properties of whole numbers,Properties of subtraction,"Closure Property                                                                                        
Difference of any two whole numbers is not always a whole number. Hence, if a and b are two whole numbers and a - b = c, then c may not a whole number. Thus whole numbers are not closed under subtraction.",,,,
,,,"Commutative Property                                                                                                      
The commutative property for subtraction of whole numbers states that if the order of whole numbers subtracted is reversed, the difference between them changes. 
i.e., for any two whole numbers a and b, a - b ≠ b- a.",,,,
,,,"Associative Property                                                                                                 
The associative property for subtraction of whole numbers states that when subtracting three whole numbers, the result changes depending on how the three whole  numbers are grouped. i.e. if a, b and c are any three whole numbers then
a - (b - c)  ≠ (a - b) - c",,,,
,,,"Zero Property of Subtraction -                                                                                        
 1. When zero is subtracted from the number, the difference is the number itself.                                                                                                           2. Subtraction of any number from zero results in negative variant of the number",,,,
,,,Properties of Subtraction of a Number from itself: When a number is subtracted from itself the difference is zero.,,,,
,Properties of Whole numbers,Properties of Multiplication,"Closure Property                                                                                                                 
The product of two or more whole numbers is always a whole number.
Hence, if a and b are two whole numbers and a x b = c, then c is also a whole number. Thus whole numbers are closed under subtraction. ",,,,
,,,"Commutative Property
The commutative property for multiplication of whole numbers states that if the order of numbers multiplied is reversed, the product remains the same.  
i.e., for any two whole numbers a and b, a x b = b x a.",,,,
,,,"Associative Property                                                                                        
The associative property for multiplication of whole numbers states that the result of multiplication of more than two whole numbers is always the same irrespective of the grouping of whole numbers.  i.e. if a, b and c are any three whole numbers then
 (a × b) × c = a × (b × c).",,,,
,,,"Multiplicative Identity 
The identity property of multiplication states that multiplying a number by 1 does not change the value of the number. 
i.e. a is any whole number, then a × 1 = a = 1 × a.                                                                                                
Thus 1 is the multiplicative identity for whole numbers. ",,,,
,,,"Multiplication by 0:
Multiplication property of zero states that on multiplying any whole number by zero the result is always zero
i.e. a is any whole number, then a × 0 = 0.                ",,,,
,,,"The Distributive Property                                                                                                 
(i) The Distributive property is applied when we need to multiply a number by the sum or the difference of two numbers.                                                                                                                 
(ii) The distributive property or distributive law states that multiplication of whole numbers is distributive over addition and subtraction.
i.e. if a, b and c are any three whole numbers then 
a × (b + c) = a x b + a x c     
a × (b - c) = a x b - a x c                                                                                                    ",,,,
,Properties of Whole numbers,Properties of division,"Division of a whole number by itself                                                                                                    
Dividing a number by itself gives the result as 1.",,,,
,,,"Division of a whole number by 1                                                                                                
If any whole number (other than zero) is divided by 1 then the answer or the quotient is the number itself.",,,,
,,,"Division by 0                                                                        
Zero divided by a non- zero whole number is zero. i.e. if a is a whole numbers other than zero, then 0 ÷ a = 0.
A whole number divided by 0 is undefined because we cannot divide a number into 0 parts. ",,,,
,,,"Closure Property: 
Quotient obtained by dividing two whole numbers is not always a whole number. Hence, if a and b(b  ≠  0) are two whole numbers and a ÷ b = c, then c may not a whole number. Thus whole numbers are not closed under division.                                                                                         ",,,,
,,," Commutative Property
The commutative property for division of whole numbers states that if the order of whole numbers divided is reversed, the quotient between them changes. 
i.e., for any two whole numbers a and b, a ÷ b ≠ b ÷ a. ",,,,
,,,"Associative Property                                                                                                 
The associative property for division of whole numbers states that when dividing three whole numbers, the result changes depending on how the three whole  numbers are grouped. i.e. if a, b and c are any three whole numbers then
a ÷ (b ÷ c)  ≠ (a ÷ b) ÷ c",,,,
,Estimation and Approximation , Approximation and Estimation,Estimation is making a rough guess about how many or how much of an object when we don't know its true value or an exact amount. ,,,,
,,,"Estimation is done when it is inconvenient or difficult to report the exact number or when we don't need a precise value, but need a value that is close to the correct answer. ",,,,
,,,"An approximation is anything that is similar, but not exactly equal, to something else. Thus approximation gives a result that is not exact but close enough to be used. ",,,,
,,,Approximation of a number can be done by rounding off the number. ,,,,
,,,Approximation is when we know the true value but want to alter it slightly to turn it into something that is easier to work with. ,,,,
,Estimation and Approximation ,Estimation of sum and their purpose,"To estimate the sum of two or more numbers, we first round off numbers and then add the rounded off values.                                                                                                                                                                                                                                                                                         ",,,,
,,,"Estimation of sum is used in everyday life like amount spent on various utilities, cost of tickets or outings, cost estimations for various  projects and so on. 
",,,,
,,," Estimation helps predict the answer to a calculation and thus helps students to determine if their answers are reasonable.
",,,,
,,, Estimation makes calculations with bigger numbers possible without using a calculator.,,,,
,,Compensation Strategy for addition,The compensation strategy for addition uses rounding and inverse operations for addition. ,,,,
,Estimation and Approximation ,Estimation of difference and their purpose," To estimate the difference of two numbers, we first round off the  given numbers and then subtract the rounded off values.                     
                                                                                                                          ",,,,
,,,"                
                                                                                                                                 
Estimation of difference is used in everyday life when we need to find the approximate value of what is left behind; be it time, money or any other resources. ",,,,
,Estimation and Approximation ,Compensation Strategy for subtraction,The compensation strategy for subtraction uses rounding and inverse operations for subtraction. ,,,,
,Estimation and Approximation ,Estimation of product and their purpose,"To estimate the product of two or more numbers, we first round off the given numbers and then multiply the rounded off values. ",,,,
,,,"
Estimation of product is used in every day life when we need to find the cost of multiple objects or the resources or time required to complete a given task. ",,,,
,Estimation and Approximation ,Estimation of division  and their purpose," To estimate the quotient of two numbers, we first round off the given numbers and then divide the rounded off values. ",,,,
,,,"
Estimation of division is often used when the distance and estimated speed is given, the time required for travel has to be calculated.",,,,
,Order of Operations (BODMAS/PEMDAS),BODMAS Rule,Use BODMAS to solve problems on whole numbers involving multiple operators. ,,,,

Factors and Multiples,Introduction to multiples,What are multiples?,A multiple of a number is the result of multiplying that number with another number.,,,,
,,,Listing multiples of a number is same as skip counting by that number.,,,,
,,How to find multiples?,We can find multiples of a number by multiplying a given number with different numbers.,,,,
,,,"We can tell if a number is a multiple of a given number, if the multiple can be divided completely without leaving a remainder by the given number.",,,,
,Properties of multiples,Properties of multiples, Multiples help in finding patterns in numbers.,,,,
,,, There are infinite number of multiples for a given number,,,,
,,, The multiple is greater when multiplied by any other number expect 1 and 0.,,,,
,,, The products in the multiplication tables are all multiples.,,,,
,,,The number itself is the smallest multiple of the given number,,,,
,Common Multiples,Common Multiples and their purpose and how to find them?, Multiples that are common to two or more numbers are called as the common multiples of those numbers. ,,,,
,,, Common multiples help in understanding when two or more events can happen at the same time.,,,,
,,, Plot a number line and skip count the given numbers. The points where the multiples meet are the common multiples of the given numbers.,,,,
,Least Common Multiple,What is the Lowest Common Multiple (LCM) and its purpose?,"The lowest common multiple is the smallest multiple shared by two or more numbers.
",,,,
,,,We can find LCM using multiples,,,,
,,,"LCM is useful to know when something will happen at the same time.
",,,,
,,, LCM helps to find the smallest or the least common number among a given set of numbers or objects,,,,
,,Application of LCM,"We can use LCM to get multiple items in order to have enough
",,,,
,Introduction to factors,What are factors? Finding them using multiplication,"A set of numbers that are multiplied together to give the given number as their product are the factors of the given number. 
",,,,
,,,Finding Factors of a given number using multiplication,,,,
,,,Multiplicand and multiplier of the number are factors of a given number.,,,,
,,Finding factors using division,"A factor of a number divides the number completely without leaving any remainder.
",,,,
,,,"The divisors and quotients are the factors of the given number.
",,,,
,,,"A number is a factor of itself because when the number is divided by itself, we get remainder 0. ",,,,
,,,Factors help in dividing something in equal pieces.,,,,
,,Application of factors,"Factors help with exchanging money and comparing prices.
",,,,
,,,"
Factors help in calculations related to time or travel.",,,,
,Finding Factors of a Number,How to represent a factor - Area Models,"Number of rows and columns of a rectangular area model form the factors of a number which they get by multiplying to each other.

",,,,
,,,"

Since the area of a rectangle is the product of the lengths of the sides, the sides are always the factors of the area
",,,,
,,Properties of factors,"The number 1 is the smallest factor of every natural number since any number can be divided by 1 and 1 is smallest natural number.

",,,,
,,,"Every number will have a minimum of two factors, 1 and the number itself because a number is completely divisible by 1 and the number itself.

",,,,
,,,A whole number is a multiple of each of its factors. ,,,,
,,Properties of factors-2,"When a number is a factor of another number, it is also a factor of any multiple of that number.",,,,
,Divisibility,Divisibility and Divisibility rule by 2,"Any number is divisible by another number, if on division remainder is 0.",,,,
,,,Divisibility rules are the rules or tricks that determine if a number is divisible by another number without actually dividing them.,,,,
,,,Divisibility rules help to make the division procedure easier and quicker. ,,,,
,,,"A number is divisible by 2 if its unit-digit ends with 0, 2, 4, 6 or 8.",,,,
,,Divisibility rules continues,"When a number is divisible by another number, it is also divisible by the factors of the number.",,,,
,,Even numbers, Even numbers are evenly divisible by 2.,,,,
,,, An even number represents a group of items that can be evenly paired with no one item left out.,,,,
,,,"Even numbers end with a 0, 2, 4, 6, or 8.",,,,
,,,All even numbers can be written as a sum of equal addends.,,,,
,,Odd numbers, Numbers that are not even numbers are odd numbers,,,,
,,,Odd numbers are not divisible by 2.,,,,
,,,An odd number represents a group of items that cannot be evenly paired.,,,,
,,,"Odd numbers end with 1, 3, 5, 7, 9.",,,,
,,Divisibility rule by 5,"A number is divisible by 5 if the unit-digit of the number is 0 or 5 , because it can be represented as a sum of fives and 5 is divisible by 5.",,,,
,,Divisibility rule by 10,"A number is divisible by 10 if the last digit of the number is 0 , because it can be represented as a sum of tens and 10 is divisible by 10.",,,,
,,Divisibility rule by 3,A number is divisible by 3 if the sum of digits is divisible by 3.,,,,
,,Divisibility rule by 4,A number is divisible by 4 if its last two digits are divisible by 4.,,,,
,,Divisibility rule by 9,A number is divisible by 9 if the sum of digits is divisible by 9.,,,,
,,Divisibility rule by 6,A number is divisible by 6 if it is divisible by both 2 and 3.,,,,
,,Divisibility rule by 7,A number is divisible by 7 if the difference between twice the ones digit and the number formed by the other digits is either 0 or a multiple of 7.,,,,
,,,A number is divisible by 7 if on multiplying the unit digit by 5 and adding the product with digits other than unit digit gives the number multiple of 7.,,,,
,,Divisibility rule by 8,"A number is divisible by 8 if the number formed by its digits in hundreds, tens and ones places is divisible by 8.",,,,
,,,"See and ensure that the last two digits of the given number are multiples of 4 (if it is not then that
particular number can’t be divided by 8 without reminder).
2. Also look at the multiplier of last two digits, whether is it even or odd.
3. Look at the number in the hundred’s place. If the multiplier and number in the hundred’s place
are both, odd or even, then the given number can be divided by 8 without a remainder",,,,
,,Divisibility rule by 11,A number is divisible by 11 if the difference of the sum of its digits in odd places and the sum of its digits in even places is either 0 or a multiple of 11.,,,,
,,Properties of Divisibility," If a number is divisible by another number, it must be divisible by each of the factors of that number.",,,,
,,," If a number is a factor of each of the two given numbers, then it must be a factor of their sum and difference.",,,,
,Prime Factorization,Prime and composite numbers,"A prime number is a number which has exactly two factors - ‘1’ and the number itself. That means, it is divisible by 1 and the number itself.",,,,
,,," A composite number has more than two factors, which means apart from having factors 1 and the number itself, it can also have another factor or factors. That means, apart from getting divisible by 1 and the number itself, it is divisible by atleast one more number.",,,,
,,,1 is neither prime nor composite.,,,,
,,Finding prime and composite numbers using Sieve of Eratosthenes,"We can find prime numbers and composite in a given set of numbers using Sieve of Eratosthenes
",,,,
,,,Sieve of Eratosthenes is an ancient method to find the prime numbers up to a given limit. It is effective to find small prime numbers.,,,,
,,What are prime factors?,"If a factor of a number is a prime number, then the number is called a prime factor. 
",,,,
,,,List all factors of a number and identify which factor is a prime number to identify the prime factors of the given number,,,,
,,What is prime factorisation?,Prime factorisation is finding which prime numbers can be multiplied together to form the original number.,,,,
,,,Prime factorisation helps us understand what prime numbers are used to build a given number.,,,,
,,,The result of prime factorisation can be expressed in terms of exponents if some factors are repeated.,,,,
,,Factor tree method of prime factorization,"A composite number can be broken down into multiple factors which can be further broken down to prime factors in the form of factor tree.
",,,,
,,,There are multiple ways of making factors trees but they all yield to the same result (prime factors).,,,,
,,,Prime factorisation through factor tree helps in organizing factors and prime factors.,,,,
,,Division method or Ladder method of prime factorization,Division of the given number by smallest or next smallest prime factors one by one till we get prime quotient lead to all the prime factors of the given number.,,,,
,,,"Since division is the inverse of multiplication, we use division to find factors.",,,,
,,,We divide by prime numbers as the product of these prime numbers give the original number and prime factorisation is the product of prime factors.,,,,
,Highest Common Factors,Common factors,Factors that are common to the given set of numbers are their common factors.,,,,
,,,"A common factor is a number that can divide the given set of numbers, without leaving a remainder.

",,,,
,,, There can be more than one common factor for the given set of numbers.,,,,
,,Highest common factor,HCF is the greatest number that divides both the given numbers without leaving any remainder.,,,,
,,,"The ""Highest Common Factor"" is the largest of the common factors (of two or more numbers)


",,,,
,,,The HCF of given numbers is never greater than any of the numbers as HCF is the greatest common divisor and divisors can never be greater than the dividends.,,,,
,,,"HCF helps in splitting things into equal and smaller sections, to arrange something into rows or groups.",,,,
,,Find HCF using prime factorisation,"Find HCF using prime factorisation:
We find prime factors to identify common prime factors of the given numbers.",,,,
,,, Common prime factors are multiplied because the product forms the greatest common factor that the given numbers can have.,,,,
,,,"The product of all common prime factors is the HCF.
",,,,
,,,The HCF of two or more prime numbers is always 1.,,,,
,,Find HCF using the common division method,"Find HCF using the common division method:
The given set of numbers are divided by common prime number so that we get common prime factor for these numbers. 


",,,,
,,,The given set of numbers are divided by lowest common prime factors so that maximum numbers from the set can get divisible by it. ,,,,
,,,"
Common division method targets on finding all the common prime factors because their products form the HCF.",,,,
,,,Common division method is dividing the numbers by the least common prime numbers till there are no common prime factors left to divide by. The product of all common prime factors is the HCF.,,,,
,,Find HCF using the long division method or Continued Division Method,"Find HCF using the division method:
The largest number is divided by the smallest number to get remainder that can serve as new divisor and previous divisor as new dividend.

",,,,
,,,"The new divisor is divided by the new remainder to get the resultant remainder 0, and if not the new remainder serves as next divisor and previous divisor as new dividend.",,,,
,,, The process continues to get remainder becomes 0 as its corresponding divisor becomes the HCF.,,,,
,,,Divide the larger number by the smaller number of the given numbers until the remainder is zero. The last divisor will be the HCF of given two numbers.,,,,
,"Co-prime, twin-prime and perfect numbers",What are co-prime numbers?,"Co-prime numbers are set of numbers with HCF as 1.


",,,,
,,,Any two successive numbers/ integers are always co-prime as they do not have any common factor.,,,,
,,,"1 is co-prime with every number.
",,,,
,,,"Every prime number is co-prime to each other.
",,,,
,,," If a number is divisible by each of two co-prime numbers, it must be divisible by their product.
",,,,
,,,The sum of any two co-prime numbers are always co-prime with their product.,,,,
,,What are twin-prime numbers?,Twin prime numbers are the prime numbers whose difference is always equal to 2.,,,,
,,,"The difference between two twin prime numbers is always equal to 2, whereas the difference between two co-prime numbers can be any number.
",,,,
,,,"Twin prime numbers are always prime numbers, whereas the co-prime numbers can also be a composite number.",,,,
,,What are perfect numbers?,"
Perfect number is a positive integer that is equal to the sum of its proper divisors excluding itself.",,,,
,Finding LCM,Find LCM using prime factorisation,"LCM using prime factorisation:
Finding prime factors help in finding common prime factors of the given numbers.
",,,,
,,,Multiplying all the factors using common factor only once and the greatest number of times it occurs in either number results in LCM of the given set of numbers.,,,,
,,,LCM is the product of highest powers of all prime factors.,,,,
,,Find LCM using the common division method,"LCM using the common division method:
The numbers are written in horizontal line so that when they are divided by prime numbers, their quotients are written directly under the numbers in the next row.


",,,,
,,, Division by prime numbers continue till we get co-prime numbers in the last row.,,,,
,,,Multiplication of all the prime numbers by which the numbers are divided and the co-prime numbers left in the end gives the LCM of the given numbers.,,,,
,,Properties of LCM, The L.C.M. of two or more numbers cannot be less than any one of them because multiples of the numbers are greater than or equal to the numbers themselves.,,,,
,,," If a number is the factor of another number, their L.C.M. is the greater number itself.
",,,,
,,, LCM of two co-prime numbers is their product.,,,,
,Relationship between HCF and LCM,Relationship between HCF and LCM," The product of LCM and HCF of any two given natural numbers is equivalent to the product of the given numbers.
",,,,
,,, Relationship between LCM and HCF actually leads us to the product of the original numbers whose LCM and HCF are given.,,,,
,,, Formula for relationship between LCM and HCF is applicable only on 2 numbers and not more than that.,,,,

Fractions,Introduction to Fractions,What are fractions and its purpose?,Whole numbers are used to count objects which are whole and fractions are used to count objects which are less than a whole,"Since whole means complete, any unbroken or complete object represents a whole. ","Since whole means complete, any unbroken or complete object represents a whole. ",TRUE,
,,,,"When the whole object is broken into pieces, we call each piece a part of it. Thus, to represent a part of an object, we split 1 into parts.","When the whole object is broken into pieces, we call each piece a part of it. Thus, to represent a part of an object, we split 1 into parts.",TRUE,
,,,,Whole numbers include all natural numbers and 0. ,Whole numbers include all natural numbers and 0. ,TRUE,
,,,Fractions are written as two numbers separated by a line and line is called vinculum,"Numbers can be split into parts. 
","Numbers can be split into parts. 
",TRUE,
,,,Fractions represents objects which are not a whole / part of a whole,"Numbers can be split into parts. 
","Numbers can be split into parts. 
",TRUE,
,,,,"When the whole object is broken into pieces, we call each piece a part of it. Thus, to represent a part of an object, we split 1 into parts.","When the whole object is broken into pieces, we call each piece a part of it. Thus, to represent a part of an object, we split 1 into parts.",TRUE,
,Introduction to Fractions,Fractions as division," Division is splitting a given amount equally. Fraction is the measure of each part when an object is divided. Hence fraction can be considered as a division problem. 
",Fractions represents objects which are not a whole / part of a whole,Fractions represents objects which are not a whole / part of a whole,TRUE,
,,,,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,TRUE,
,,, Replacing the dots in the division symbol with numbers will yeild a fraction.,"The  division symbol ""÷""and  the ""=""  symbol are used to write a  division sentence where ""÷"" indicates division. Dividend comes first in the division sentence as to divide, we must have something to divide.","The  division symbol ""÷""and  the ""=""  symbol are used to write a  division sentence where ""÷"" indicates division. Dividend comes first in the division sentence as to divide, we must have something to divide.",TRUE,
,,,,Fractions are written as two numbers separated by a line and line is called vinculum,Fractions are written as two numbers separated by a line and line is called vinculum,TRUE,
,Introduction to Fractions,Numerator and Denominator,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",Fractions represents objects which are not a whole / part of a whole,Fractions represents objects which are not a whole / part of a whole,TRUE,
,,,,Fractions are written as two numbers separated by a line and line is called vinculum,Fractions are written as two numbers separated by a line and line is called vinculum,TRUE,
,,,,"When the whole object is broken into pieces, we call each piece a part of it. Thus, to represent a part of an object, we split 1 into parts.","When the whole object is broken into pieces, we call each piece a part of it. Thus, to represent a part of an object, we split 1 into parts.",TRUE,
,,,The top number is the numerator and the bottom number is the denominator,Fractions are written as two numbers separated by a line and line is called vinculum,Fractions are written as two numbers separated by a line and line is called vinculum,TRUE,
,Introduction to Fractions,More about Denominators," Any number can be expressed as a fraction by making the denominator as 1.

","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,A number is a count or measurement of a quantity.,A number is a count or measurement of a quantity.,TRUE,
,,, Denominator 1 indicates that there is only part which is the whole itself. ,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
